#19 86.0  0.00089 83.0e-9 1.66e-6
#22 173.0 0.00087 83.0e-9 1.66e-6
#24 274.0 0.00095 83.0e-9 1.66e-6
#26 440.0 0.001   83.0e-9 1.66e-6
#19m 0.053437723 5.530183e-7 5.157361e-11 1.031472e-9 
#22m 0.10749682  5.405909e-7 5.157361e-11 1.031472e-9 
#24m 0.17025507  5.903004e-7 5.157361e-11 1.031472e-9 
#26m 0.27340231  6.213688e-7 5.157361e-11 1.031472e-9 
air		0.0	1.256637e-6	8.854e-12	0.0
tile		0.0	1.256637e-6	12.0414e-12	0.0
rcg		0.0	1.256637e-6	42.499e-12	0.0
plasma1		0.0	1.258900e+13	0.0		0.0
plasma2		0.0	3.16e+14	0.0		0.0
coax1	0.001	0.0035	2.25	0.001
balsh1   0.001  0.0035 2.25 0.002
wireabg1 0.001 0.1 2.25 0.0
paral1   0.001 0.01 2.25 0.0 

