#19m 0.053437723 5.530183e-7 5.157361e-11 1.031472e-9 
#22m 0.10749682  5.405909e-7 5.157361e-11 1.031472e-9 
#24m 0.17025507  5.903004e-7 5.157361e-11 1.031472e-9 
#26m 0.27340231  6.213688e-7 5.157361e-11 1.031472e-9 
coax1	0.001	0.0035	2.25	0.001
balsh1   0.001  0.0035 2.25 0.002
wireabg1 0.001 0.1 2.25 0.0
paral1   0.001 0.01 2.25 0.0 
mstrip50 0.552507 0.254 3.66 0.01
mstripZ1 10.0506 0.254 3.66 0.01
mstripZ2 6.72717 0.254 3.66 0.01
mstripZ3 10.0506 0.254 3.66 0.01
mstripBSFZ1 0.21 0.254 3.66 0.01
mstripBSFZ2 0.07 0.254 3.66 0.01
mstripBSFZ3 0.21 0.254 3.66 0.01
mstripZ1_paral 4.75085 0.254 3.66 0.01
mstripZ2_paral 3.10866 0.254 3.66 0.01
mstripZ3_paral 4.75085 0.254 3.66 0.01
mstripBSFZ1_2 0.372076 0.254 3.66 0.01
mstripBSFZ2_2 0.171229 0.254 3.66 0.01
mstripBSFZ3_2 0.372076 0.254 3.66 0.01
mstripZ1_paral_6GHz 1.28422   0.254 3.66 0.01
mstripZ2_paral_6GHz 0.763286  0.254 3.66 0.01
mstripZ3_paral_6GHz 1.28422   0.254 3.66 0.01
mstripZ1_paral_4GHz 2.13711   0.254 3.66 0.01
mstripZ2_paral_4GHz 1.33575  0.254 3.66 0.01
mstripZ3_paral_4GHz 2.13711  0.254 3.66 0.01








